budget,genres,original_language,popularity,production_companies,production_countries,revenue,runtime,title,vote_average,vote_count,cast,release_year,release_month,release_day,Profit,roi
150000000,18,4,51.247321,12,2086,665692281,91.0,Kung Fu Panda 2,6.7,1880,1,2011,5,25,515692281,343.794854
150000000,1,4,33.769336,1,2086,318502923,103.0,The Last Airbender,4.7,1151,1,2010,6,30,168502923,112.335282
150000000,24,4,63.079003,1,1,397850012,126.0,Mission: Impossible III,6.5,2028,1,2006,5,3,247850012,165.23334133333333
150000000,13,4,39.004588,1,2086,205366737,131.0,White House Down,6.4,1891,1,2013,6,27,55366737,36.911158
150000000,4,4,12.362599,3,2086,38992758,88.0,Mars Needs Moms,5.5,199,1,2011,3,9,-111007242,-74.004828
149000000,9,4,22.550135,2,141,64459316,85.0,Flushed Away,6.0,874,1,2006,10,22,-84540684,-56.73871409395973
150000000,12,4,48.03528,1,2086,128388320,111.0,Pan,5.9,954,1,2015,9,24,-21611680,-14.407786666666667
145000000,18,4,44.989192,12,2086,746921274,93.0,Madagascar 3: Europe's Most Wanted,6.4,1808,1,2012,6,6,601921274,415.11812
140000000,24,4,54.159392,7,141,431971116,133.0,Die Another Day,5.8,1092,1,2002,11,17,291971116,208.55079714285716
144000000,1,4,66.21806,1,2086,229147509,116.0,Ghostbusters,5.3,2142,1,2016,7,14,85147509,59.13021458333333
140000000,3,4,58.485967,1,2086,553799566,151.0,Armageddon,6.4,2482,1,1998,7,1,413799566,295.57111857142854
70000000,1,4,35.601665,1,2086,195735876,115.0,Beowulf,5.5,841,1,2007,11,5,125735876,179.62268
145000000,1,4,56.747978,1,7,521170825,95.0,Kung Fu Panda 3,6.7,1603,1,2016,1,23,376170825,259.4281551724138
145000000,5,4,77.77477,1,1,694713380,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,1,2011,12,7,549713380,379.11267586206895
145000000,2,4,61.788035,12,2086,306941670,97.0,Rise of the Guardians,7.1,1922,1,2012,11,21,161941670,111.68391034482758
100000000,185,4,25.159168,1,2086,202026112,90.0,Fun with Dick and Jane,5.9,627,1,2005,12,21,102026112,102.026112
140000000,1,4,52.341226,1,1,456758981,154.0,The Last Samurai,7.3,1895,1,2003,12,5,316758981,226.25641500000003
150000000,9,4,73.616808,1,93,385680446,127.0,Star Trek,7.4,4518,1,2009,5,6,235680446,157.12029733333333
139000000,3,4,82.502566,1,2086,821708551,121.0,Spider-Man,6.8,5265,1,2002,5,1,682708551,491.15723093525185
140000000,5,4,56.257249,1,36,150680864,127.0,Gods of Egypt,5.3,1277,1,2016,2,25,10680864,7.629188571428572
135000000,17,4,17.88953,1,2086,76932943,121.0,Stealth,4.9,331,1,2005,7,28,-58067057,-43.01263481481482
130000000,1,4,64.798873,1,2086,185258983,163.0,Watchmen,7.0,2811,1,2009,3,5,55258983,42.50691
140000000,3,4,24.855701,1,2086,285444603,127.0,Lethal Weapon 4,6.3,767,1,1998,7,10,145444603,103.88900214285715
137000000,1,4,34.981698,1,2086,245360480,138.0,Hulk,5.3,1533,1,2003,6,19,108360480,79.09524087591241
130000000,3,4,59.325589,1,2086,371876278,110.0,G.I. Joe: Retaliation,5.4,3025,1,2013,3,26,241876278,186.05867538461538
130000000,1,4,21.605568,1,1,119269486,124.0,Sahara,5.7,434,1,2005,4,6,-10730514,-8.254241538461539
137000000,1,4,26.074908,1,11,85131830,106.0,Final Fantasy: The Spirits Within,5.9,433,1,2001,7,2,-51868170,-37.85997810218978
140000000,18,4,74.506246,8,2086,370569774,124.0,Captain America: The First Avenger,6.6,7047,1,2011,7,22,230569774,164.69269571428572
135000000,24,4,39.604363,2,141,361832400,128.0,The World Is Not Enough,6.0,862,1,1999,11,8,226832400,168.024
150000000,9,4,36.973031,1,2086,212011111,138.0,Master and Commander: The Far Side of the World,6.9,790,1,2003,11,14,62011111,41.34074066666666
120000000,4,4,99.687084,1,2086,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,1,2012,11,13,709000000,590.8333333333334
130000000,18,4,17.7735,1,11,150406466,100.0,Happy Feet Two,5.8,373,1,2011,11,17,20406466,15.697281538461539
150000000,9,4,62.898336,1,2086,163712074,114.0,The Incredible Hulk,6.1,3021,1,2008,6,12,13712074,9.141382666666667
140000000,12,4,44.19092,1,8,183345589,120.0,The BFG,6.0,1000,1,2016,6,1,43345589,30.961135000000002
135000000,18,4,44.765377,12,2086,282570682,96.0,Turbo,6.1,1074,1,2013,7,11,147570682,109.3116162962963
135000000,1,4,29.91353,1,2086,245724603,107.0,Rango,6.6,2051,1,2011,3,2,110724603,82.01822444444444
132000000,4,4,84.366984,12,2086,373552094,92.0,Penguins of Madagascar,6.5,1346,1,2014,11,22,241552094,182.99401060606058
70000000,5,4,45.381501,1,93,442824138,115.0,The Bourne Ultimatum,7.3,2888,1,2007,8,3,372824138,532.6059114285714
130000000,1,4,84.689648,12,2086,631744560,90.0,Kung Fu Panda,6.9,3145,1,2008,6,4,501744560,385.95735384615386
135000000,1,4,63.473086,1,2086,368871007,94.0,Home,6.8,1519,1,2015,3,18,233871007,173.23778296296297
132000000,1,4,48.572726,1,2086,591739379,116.0,War of the Worlds,6.2,2322,1,2005,6,28,459739379,348.28740833333336
130000000,3,4,38.068736,1,2086,273339556,147.0,Bad Boys II,6.3,1564,1,2003,7,18,143339556,110.26119692307692
130000000,1,4,20.678787,2,2086,554987477,90.0,Puss in Boots,6.4,451,1,2011,10,28,424987477,326.9134438461538
110000000,2,4,48.829437,1,2086,293329073,100.0,Salt,6.2,2093,1,2010,7,21,183329073,166.66279363636363
125000000,3,4,46.115758,1,2086,362637473,139.0,Noah,5.6,2350,1,2014,3,20,237637473,190.1099784
130000000,1,4,89.938296,1,9,371940071,107.0,The Adventures of Tintin,6.7,2061,1,2011,10,25,241940071,186.10774692307692
130000000,195,4,28.840997,1,2,49554002,165.0,Australia,6.3,694,1,2008,11,18,-80445998,-61.88153692307692
130000000,9,4,42.840582,1,2086,243843127,100.0,After Earth,5.0,2532,1,2013,5,30,113843127,87.57163615384616
127500000,18,4,26.548594,8,2086,354248063,82.0,Dinosaur,6.2,542,1,2000,5,19,226748063,177.8416180392157
130000000,1,4,68.757242,12,2086,321887208,95.0,Megamind,6.7,1918,1,2010,10,28,191887208,147.60554461538462
130000000,1,4,39.448066,1,2086,61648500,96.0,R.I.P.D.,5.4,1260,1,2013,7,18,-68351500,-52.57807692307692
125000000,4,4,45.313197,1,1,767820459,149.0,The Da Vinci Code,6.5,2704,1,2006,5,17,642820459,514.2563672
103000000,4,4,42.40024,8,2086,500188435,102.0,Rio 2,6.3,978,1,2014,3,19,397188435,385.6198398058253
110000000,3,4,2.871739,1,2086,407711549,133.0,X2,6.8,3506,1,2003,4,24,297711549,270.6468627272727
125000000,18,4,7.255718,1,2086,626137675,130.0,Fast Five,7.1,2438,1,2011,4,20,501137675,400.91013999999996
125000000,1,4,81.499621,1,2086,334615000,129.0,Sherlock Holmes: A Game of Shadows,7.0,3886,1,2011,11,22,209615000,167.692
125000000,13,4,47.686442,1,2086,232713139,106.0,Clash of the Titans,5.6,2233,1,2010,4,1,107713139,86.17051119999999
65000000,18,4,43.129703,1,2086,261317921,113.0,Total Recall,7.1,1710,1,1990,6,1,196317921,302.02757076923075
160000000,13,4,27.220157,15,2086,61698899,102.0,The 13th Warrior,6.4,510,1,1999,8,27,-98301101,-61.438188125
130000000,32,4,90.33681,1,2086,276572938,120.0,The Bourne Legacy,6.0,2651,1,2012,8,8,146572938,112.74841384615384
123000000,1,4,45.419668,6,93,345141403,104.0,How the Grinch Stole Christmas,6.2,1386,1,2000,11,17,222141403,180.60276666666667
125000000,7,4,41.380094,1,2086,544272402,124.0,The Day After Tomorrow,6.2,2392,1,2004,5,26,419272402,335.4179216
125000000,24,4,54.931334,1,93,546388105,123.0,Mission: Impossible II,5.9,1928,1,2000,5,24,421388105,337.110484
120000000,195,4,25.752118,1,2086,325756637,130.0,The Perfect Storm,6.2,597,1,2000,3,15,205756637,171.46386416666667
130000000,3,4,60.810723,1,22,289047763,92.0,Fantastic 4: Rise of the Silver Surfer,5.4,2589,1,2007,6,13,159047763,122.34443307692308
120000000,4,4,51.328145,1,1,609016565,127.0,Life of Pi,7.2,5797,1,2012,11,20,489016565,407.51380416666666
110000000,1,4,46.834704,1,8,228738393,114.0,Ghost Rider,5.2,1712,1,2007,2,16,118738393,107.94399363636364
120000000,32,4,62.641286,1,2,415484914,123.0,Jason Bourne,5.9,2341,1,2016,7,27,295484914,246.23742833333333
120000000,15,4,33.616115,1,2086,259175788,106.0,Charlie's Angels: Full Throttle,5.2,914,1,2003,6,27,139175788,115.97982333333334
130000000,2,4,68.889395,1,141,403170142,124.0,Prometheus,6.3,5080,1,2012,5,30,273170142,210.13087846153846
120000000,1,4,27.990284,1,2086,169956806,78.0,Stuart Little 2,5.4,613,1,2002,7,19,49956806,41.63067166666667
115000000,2,4,67.33767,1,2086,286140700,109.0,Elysium,6.4,3439,1,2013,8,7,171140700,148.818
105000000,13,4,27.835436,1,2086,115772733,119.0,The Chronicles of Riddick,6.3,1570,1,2004,6,11,10772733,10.259745714285714
120000000,13,4,66.757869,1,66,242688965,102.0,RoboCop,5.7,2342,1,2014,1,30,122688965,102.24080416666668
120000000,1,4,17.060695,1,1,93945766,135.0,Speed Racer,5.7,354,1,2008,5,9,-26054234,-21.711861666666664
120000000,61,4,11.137655,1,2086,48668907,121.0,How Do You Know,4.9,223,1,2010,12,17,-71331093,-59.442577500000006
117000000,17,4,44.906918,1,2086,261930431,109.0,Knight and Day,5.9,1547,1,2010,6,15,144930431,123.87216324786326
120000000,1,4,67.698004,1,2086,286168572,124.0,Oblivion,6.4,4800,1,2013,4,10,166168572,138.47381000000001
113000000,2,4,44.108427,3,2086,850000000,140.0,Star Wars: Episode III - Revenge of the Sith,7.1,4116,1,2005,5,17,737000000,652.2123893805309
120000000,13,4,43.987061,3,2086,649398328,142.0,Star Wars: Episode II - Attack of the Clones,6.4,3992,1,2002,5,15,529398328,441.1652733333334
120000000,1,4,15.953444,1,141,415440673,126.0,The Wolverine,6.3,4053,1,2013,7,23,295440673,246.20056083333336
115000000,13,4,54.035265,3,2086,924317558,136.0,Star Wars: Episode I - The Phantom Menace,6.3,4432,1,1999,5,19,809317558,703.7543982608696
135000000,5,4,64.183321,12,2086,585178928,98.0,The Croods,6.8,2399,1,2013,3,20,450178928,333.4658725925926
97250400,1,7,20.344364,1,1,132900000,116.0,Asterix at the Olympic Games,5.0,471,1,2008,1,13,35649600,36.657535598825305
115000000,1,4,18.714197,1,2086,77628265,134.0,Windtalkers,5.8,341,1,2002,6,14,-37371735,-32.497160869565214
115000000,5,4,60.467984,1,2086,164602163,114.0,The Huntsman: Winter's War,6.0,1523,1,2016,4,6,49602163,43.132315652173915
116000000,19,4,16.90444,2,2086,178127760,108.0,Dante's Peak,5.7,428,1,1997,2,7,62127760,53.55841379310344
135000000,1,4,39.873791,1,1,245623848,112.0,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,1,2016,6,1,110623848,81.94359111111112
120000000,18,4,38.126095,1,2086,167977596,100.0,Fantastic Four,4.4,2278,1,2015,8,5,47977596,39.98133
110000000,1,4,48.780039,1,12,574480841,108.0,Night at the Museum,6.3,2862,1,2006,10,20,464480841,422.25531
110000000,13,4,100.412364,1,1,470490832,114.0,San Andreas,6.0,2968,1,2015,5,27,360490832,327.7189381818182
110000000,24,4,42.887121,7,141,333011068,119.0,Tomorrow Never Dies,6.0,925,1,1997,12,11,223011068,202.73733454545453
110000000,1,4,23.657284,1,93,215294342,165.0,The Patriot,6.8,1099,1,2000,6,28,105294342,95.72212909090909
110000000,7,4,76.840712,1,2086,362744280,125.0,Ocean's Twelve,6.4,2124,1,2004,12,9,252744280,229.76752727272728
110000000,1,4,103.718387,1,2086,295238201,119.0,Insurgent,6.2,3829,1,2015,3,18,185238201,168.39836454545454
116000000,195,4,45.616098,1,2086,102000000,170.0,The Aviator,7.0,1489,1,2004,12,17,-14000000,-12.068965517241379
112000000,185,4,22.845143,2,2086,237382724,85.0,Gulliver's Travels,4.9,621,1,2010,12,25,125382724,111.94886071428571
120000000,1,4,31.703608,1,2086,227817248,119.0,The Green Hornet,5.5,1251,1,2011,1,12,107817248,89.84770666666667
110000000,1,4,71.510596,1,2086,337580051,102.0,300: Rise of an Empire,6.1,2397,1,2014,3,5,227580051,206.89095545454546
110000000,1,4,36.65422,1,2086,563749323,103.0,The Smurfs,5.5,1179,1,2011,7,29,453749323,412.4993845454545
110000000,18,4,19.625972,17,2086,103951461,76.0,Home on the Range,5.7,389,1,2004,4,2,-6048539,-5.498671818181818
110000000,4,4,86.105615,1,2086,179246868,121.0,Allegiant,5.9,1998,1,2016,3,9,69246868,62.95169818181818
110000000,2,4,37.195046,1,8,299268508,127.0,Real Steel,6.6,2692,1,2011,9,28,189268508,172.06228
105000000,1,4,32.473628,1,2086,347434178,105.0,The Smurfs 2,5.5,695,1,2013,7,30,242434178,230.8896933333333
110000000,9,4,45.94834,1,2086,125537191,114.0,Ender's Game,6.6,2303,1,2013,10,23,15537191,14.12471909090909
110000000,32,4,48.93337,1,141,383531464,128.0,Live Free or Die Hard,6.4,2089,1,2007,6,20,273531464,248.6649672727273
110000000,15,4,22.643776,1,1,72178895,120.0,Around the World in 80 Days,5.7,672,1,2004,6,16,-37821105,-34.382822727272725
107000000,195,4,18.866672,13,2086,87713825,157.0,Ali,6.7,447,1,2001,12,11,-19286175,-18.02446261682243
120000000,13,4,95.914473,1,11,347234916,115.0,"I, Robot",6.7,3793,1,2004,7,15,227234916,189.36243
130000000,2,4,44.490453,1,1,211643158,144.0,Kingdom of Heaven,6.6,1157,1,2005,5,3,81643158,62.80242923076923
133000000,1,4,30.475297,1,93,300135367,84.0,Stuart Little,5.8,959,1,1999,12,17,167135367,125.66568947368421
105000000,1,4,62.479574,5,2086,267045765,97.0,The Princess and the Frog,6.7,1247,1,2009,12,8,162045765,154.3293
126000000,3,4,37.68056,1,2086,162949164,136.0,The Island,6.5,1770,1,2005,7,20,36949164,29.324733333333334
90000000,25,4,52.995628,4,2086,237202299,118.0,Gone in Sixty Seconds,6.1,1485,1,2000,6,9,147202299,163.55811
102000000,1,4,65.948959,1,2086,358372926,145.0,Minority Report,7.1,2608,1,2002,6,20,256372926,251.34600588235293
100000000,1,4,51.188633,1,2086,362211740,119.0,Planet of the Apes,5.6,1243,1,2001,7,25,262211740,262.21174
100000000,13,4,101.74155,1,33,520000000,137.0,Terminator 2: Judgment Day,7.7,4185,1,1991,7,1,420000000,420.0
80000000,1,4,33.691694,1,2086,214104620,140.0,Public Enemies,6.5,1344,1,2009,7,1,134104620,167.630775
100000000,22,4,42.361215,1,141,266465037,157.0,American Gangster,7.4,1502,1,2007,11,2,166465037,166.465037
115000000,32,4,38.729418,1,2086,378882411,141.0,True Lies,6.8,1116,1,1994,7,14,263882411,229.46296608695653
100000000,4,4,40.597856,1,2086,150166126,106.0,The Taking of Pelham 1 2 3,6.2,954,1,2009,6,11,50166126,50.166126
100000000,82,4,32.389353,1,2086,310650585,98.0,Little Fockers,5.4,1060,1,2010,12,21,210650585,210.650585
100000000,17,4,24.399642,1,2086,170432927,107.0,The Other Guys,6.1,1383,1,2010,8,6,70432927,70.432927
100000000,5,4,24.507987,1,66,242295562,115.0,Eraser,5.6,543,1,1996,6,21,142295562,142.295562
100000000,1,4,46.727941,17,2086,100138851,91.0,The Hunchback of Notre Dame,6.8,1129,1,1996,6,21,138851,0.138851
100000000,5,4,51.113717,8,2086,169327687,78.0,The Emperor's New Groove,7.2,1490,1,2000,12,9,69327687,69.327687
100000000,19,4,53.732892,2,2086,312573423,103.0,The Expendables 2,6.1,2896,1,2012,8,8,212573423,212.573423
100000000,1,4,58.849256,1,2086,347451894,131.0,National Treasure,6.4,1926,1,2004,11,19,247451894,247.45189399999998
100000000,1,4,30.863434,1,1,249288105,104.0,Eragon,4.9,967,1,2006,12,14,149288105,149.288105
100000000,1,4,31.586215,1,2086,100086793,101.0,Where the Wild Things Are,6.4,572,1,2009,10,16,86793,0.08679300000000001
100000000,2,4,36.711378,8,2086,268426634,102.0,Epic,6.4,1121,1,2013,5,15,168426634,168.426634
100000000,1,4,41.426678,1,1,278731369,103.0,The Tourist,6.0,1699,1,2010,12,8,178731369,178.731369
100000000,1,4,20.652943,2,2086,211989043,121.0,End of Days,5.5,482,1,1999,11,24,111989043,111.98904300000001
100000000,1,4,52.792678,1,93,170877916,143.0,Blood Diamond,7.3,2281,1,2006,12,7,70877916,70.877916
100000000,1,4,48.205606,1,141,336529144,121.0,Batman Forever,5.2,1498,1,1995,5,31,236529144,236.529144
105000000,10,4,58.782359,1,2086,121214377,129.0,Starship Troopers,6.7,1560,1,1997,11,6,16214377,15.44226380952381
102000000,8,4,73.872343,1,1,130482868,172.0,Cloud Atlas,6.6,2977,1,2012,10,26,28482868,27.924380392156863
80000000,2,4,37.321848,1,36,140073390,97.0,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703,1,2010,7,10,60073390,75.0917375
100000000,10,4,32.271938,1,2086,82102379,104.0,Catwoman,4.2,808,1,2004,7,22,-17897621,-17.897621
100000000,7,4,76.842247,1,2086,243400000,99.0,Hercules,5.6,1680,1,2014,7,23,143400000,143.4
140000000,2,4,38.924136,8,2086,109578115,95.0,Treasure Planet,7.2,948,1,2002,11,26,-30421885,-21.72991785714286
100000000,3,4,19.38841,1,2086,68688831,102.0,Land of the Lost,5.3,381,1,2009,6,5,-31311169,-31.311169
90000000,19,4,61.025639,1,33,206172544,127.0,The Expendables 3,6.1,1795,1,2014,8,4,116172544,129.08060444444445
105000000,25,4,33.507289,1,1,133718711,114.0,Point Break,5.5,783,1,2015,12,3,28718711,27.351153333333333
100000000,1,4,50.767332,1,2086,93820758,122.0,In the Heart of the Sea,6.5,1276,1,2015,11,20,-6179242,-6.179242
100000000,7,4,12.092241,1,36,7103973,95.0,The Adventures of Pluto Nash,4.4,142,1,2002,8,15,-92896027,-92.896027
100000000,1,4,30.254021,1,1,94882889,115.0,Green Zone,6.4,717,1,2010,3,11,-5117111,-5.1171109999999995
99000000,1,4,34.308098,8,2086,246233113,88.0,The Peanuts Movie,6.5,604,1,2015,11,5,147233113,148.72031616161615
10000000,13,4,3.091077,1,2086,13835130,110.0,The Spanish Prisoner,7.1,73,1,1997,9,8,3835130,38.3513
98000000,5,4,41.862983,1,2086,433013274,130.0,The Mummy Returns,6.0,2206,1,2001,4,28,335013274,341.85027959183674
100000000,1,4,46.160048,1,1,193772504,167.0,Gangs of New York,7.1,1910,1,2002,12,14,93772504,93.772504
94000000,14,25,12.516546,1,5,95311434,145.0,The Flowers of War,7.1,187,1,2011,12,15,1311434,1.3951425531914894
85000000,18,4,23.230851,4,2086,149044513,85.0,Surf's Up,5.9,601,1,2007,6,8,64044513,75.34648588235294
90000000,7,4,19.224754,1,2086,102000000,93.0,The Stepford Wives,5.4,334,1,2004,6,10,12000000,13.333333333333334
92000000,3,4,44.455166,1,141,172989651,144.0,Black Hawk Down,7.2,1811,1,2001,12,28,80989651,88.03222934782609
90000000,2,4,109.528572,2,19,263920180,126.0,The Fifth Element,7.3,3885,1,1997,5,7,173920180,193.24464444444445
100000000,61,4,18.325897,1,2086,288347692,146.0,Sex and the City 2,5.4,426,1,2010,5,26,188347692,188.34769200000002
95000000,9,4,37.054554,4,2086,76432727,89.0,The Road to El Dorado,7.0,858,1,2000,3,31,-18567273,-19.544497894736843
95000000,1,4,65.229868,8,2086,877244782,88.0,Ice Age: Continental Drift,6.2,2672,1,2012,6,26,782244782,823.4155599999999
95000000,1,4,101.187052,1,141,543514353,105.0,Cinderella,6.7,2374,1,2015,3,12,448514353,472.1203715789474
65000000,3,4,29.257137,1,1,93525586,136.0,The Lovely Bones,6.6,1065,1,2009,12,26,28525586,43.88551692307692
95000000,3,4,63.628459,1,1,114178613,102.0,Seventh Son,5.2,957,1,2014,12,12,19178613,20.188013684210524
115000000,3,4,41.498631,1,2086,274703340,100.0,Lara Croft: Tomb Raider,5.7,2192,1,2001,6,11,159703340,138.8724695652174
100000000,1,4,58.991388,1,1,103039258,119.0,Transcendence,5.9,2295,1,2014,4,16,3039258,3.039258
93000000,10,4,1.859364,1,2086,368780809,92.0,Jurassic Park III,5.7,2077,1,2001,7,18,275780809,296.53850430107525
90000000,12,4,21.436682,1,2086,162839667,95.0,The Spiderwick Chronicles,6.3,572,1,2008,2,14,72839667,80.93296333333333
92000000,32,4,65.402595,1,2086,304654182,98.0,A Good Day to Die Hard,5.2,3493,1,2013,2,6,212654182,231.14585
145000000,1,4,10.660441,2,2086,25819961,137.0,The Alamo,5.8,106,1,2004,4,7,-119180039,-82.19313034482758
92000000,1,4,77.817571,11,2086,631442092,115.0,The Incredibles,7.4,5152,1,2004,11,5,539442092,586.3501
98000000,7,4,7.029308,1,1,10017322,119.0,Cutthroat Island,5.7,136,1,1995,12,22,-87982678,-89.77824285714286
90000000,2,4,104.121555,1,2086,589390539,98.0,Men in Black,6.9,4412,1,1997,7,2,499390539,554.8783766666667
90000000,18,4,73.575118,4,2086,497366869,92.0,Toy Story 2,7.3,3806,1,1999,10,30,407366869,452.6298544444445
100000000,32,4,37.698465,1,2086,167805466,98.0,Unstoppable,6.3,1165,1,2010,11,4,67805466,67.80546600000001
90000000,4,4,35.814765,26,2086,347325802,90.0,Rush Hour 2,6.4,1054,1,2001,8,3,257325802,285.91755777777774
100000000,5,4,15.835672,1,2086,155464351,130.0,What Lies Beneath,6.3,488,1,2000,7,21,55464351,55.464351
100000000,18,4,46.781182,4,2086,242988466,90.0,Cloudy with a Chance of Meatballs,6.5,1747,1,2009,9,17,142988466,142.988466
90000000,3,4,69.457898,8,2086,886686817,94.0,Ice Age: Dawn of the Dinosaurs,6.5,2271,1,2009,6,29,796686817,885.2075744444445
