budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,cast
380000000,"Adventure, Action, Fantasy",en,135.413856,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",United States of America,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,"Johnny Depp, Ian McShane, Kevin McNally, Geoffrey Rush, Sam Claflin, Stephen Graham, Greg Ellis, Damian O'Hare"
225000000,"Action, Comedy, Science Fiction",en,52.035179,"Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions",United States of America,2012-05-23,624026776,106.0,Men in Black 3,6.2,4160,"Will Smith, Tommy Lee Jones, Josh Brolin, Michael Stuhlbarg, Emma Thompson, Jemaine Clement, Nicole Scherzinger, Alice Eve, Bill Hader, Michael Chernus"
250000000,"Action, Adventure, Fantasy",en,120.965743,"WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM)","New Zealand, United States of America",2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner"
215000000,"Action, Adventure, Fantasy",en,89.866276,"Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment",United States of America,2012-06-27,752215857,136.0,The Amazing Spider-Man,6.5,6586,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Campbell Scott, Irrfan Khan, Martin Sheen, Sally Field, Max Charles, Chris Zylka"
200000000,"Action, Adventure",en,37.668301,"Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media","United Kingdom, United States of America",2010-05-12,310669540,140.0,Robin Hood,6.2,1398,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong, Oscar Isaac, Danny Huston, Eileen Atkins, Mark Addy, Matthew Macfadyen"
250000000,"Adventure, Fantasy",en,94.370564,"WingNut Films, New Line Cinema, Warner Bros. Pictures, Metro-Goldwyn-Mayer (MGM)","New Zealand, United States of America",2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner"
180000000,"Adventure, Fantasy",en,42.990906,"New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions","United Kingdom, United States of America",2007-12-04,372234864,113.0,The Golden Compass,5.8,1303,"Dakota Blue Richards, Nicole Kidman, Daniel Craig, Sam Elliott, Eva Green, Freddie Highmore, Ian McKellen, Ben Walker, Ian McShane, Kristin Scott Thomas"
207000000,"Adventure, Drama, Action",en,61.22601,"WingNut Films, Universal Pictures, Big Primate Pictures, MFPV Film","New Zealand, United States of America, Germany",2005-12-14,550000000,187.0,King Kong,6.6,2337,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Andy Serkis, Evan Parke, Jamie Bell, Lobo Chan, John Sumner"
200000000,"Drama, Romance, Thriller",en,100.025899,"Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment",United States of America,1997-11-18,1845034188,194.0,Titanic,7.5,7562,"Kate Winslet, Leonardo DiCaprio, Frances Fisher, Billy Zane, Kathy Bates, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber"
250000000,"Adventure, Action, Science Fiction",en,198.372395,"Studio Babelsberg, Marvel Studios, Walt Disney Studios Motion Pictures, Vita-Ray Dutch Productions (III), Deluxe Digital Studios",United States of America,2016-04-27,1153304495,147.0,Captain America: Civil War,7.1,7241,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen"
209000000,"Thriller, Action, Adventure, Science Fiction",en,64.928382,"Universal Pictures, Hasbro, Bluegrass Films, Film 44",United States of America,2012-04-11,303025485,131.0,Battleship,5.5,2114,"Taylor Kitsch, Alexander Skarsggrd, Rihanna, Brooklyn Decker, Tadanobu Asano, Liam Neeson, Gregory D. Gadson, Hamish Linklater, Jesse Plemons, John Tui"
150000000,"Action, Adventure, Science Fiction, Thriller",en,418.708552,"Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",United States of America,2015-06-09,1513528810,124.0,Jurassic World,6.5,8662,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Nick Robinson, Ty Simpkins, Jake Johnson, Omar Sy, BD Wong, Judy Greer"
200000000,"Action, Adventure, Thriller",en,93.004993,Columbia Pictures,"United Kingdom, United States of America",2012-10-25,1108561013,143.0,Skyfall,6.9,7604,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris, Albert Finney, Ben Whishaw, Rory Kinnear, Ola Rapace"
200000000,"Action, Adventure, Fantasy",en,35.149586,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",United States of America,2004-06-25,783766341,127.0,Spider-Man 2,6.7,4321,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris, Donna Murphy, J.K. Simmons, Daniel Gillies, Dylan Baker, Willem Dafoe"
200000000,"Action, Adventure, Science Fiction",en,77.68208,Marvel Studios,"China, United States of America",2013-04-18,1215439994,130.0,Iron Man 3,6.8,8806,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Jon Favreau, Ben Kingsley, James Badge Dale, Stephanie Szostak, Paul Bettany"
200000000,"Family, Fantasy, Adventure",en,78.530105,"Walt Disney Pictures, Team Todd, Tim Burton Productions, Roth Films, Zanuck Company, The",United States of America,2010-03-03,1025491110,108.0,Alice in Wonderland,6.4,4645,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover, Marton Csokas, Lindsay Duncan, Matt Lucas, Geraldine James, Tim Pigott-Smith"
210000000,"Adventure, Action, Science Fiction, Thriller",en,3.857526,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment, Major Studio Partners, Bad Hat Harry Productions, thinkfilm, Marvel Enterprises, X3 Canada Productions, X3US Productions, XM3 Service","Canada, United Kingdom, United States of America",2006-05-24,459359555,104.0,X-Men: The Last Stand,6.3,3525,"Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen, Anna Paquin, Kelsey Grammer, Shawn Ashmore, Aaron Stanford, Ellen Page"
200000000,"Animation, Family",en,89.186492,"Walt Disney Pictures, Pixar Animation Studios",United States of America,2013-06-20,743559607,104.0,Monsters University,7.0,3528,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Noah Johnston, Peter Sohn, Joel Murray, Sean Hayes, Dave Foley, Charlie Day"
150000000,"Science Fiction, Action, Adventure",en,21.939663,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, Hasbro Studios, Revolution Sun Studios",United States of America,2009-06-19,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,"Shia LaBeouf, Megan Fox, Josh Duhamel, Rainn Wilson, Tyrese Gibson, John Turturro, Kevin Dunn, Julie White, Isabel Lucas"
210000000,"Science Fiction, Action, Adventure",en,116.840296,"Paramount Pictures, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, China Movie Channel, Hasbro Studios, Ian Bryce Productions, Revolution Sun Studios",United States of America,2014-06-25,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz, Jack Reynor, Titus Welliver, Sophia Myles, Li Bingbing, T.J. Miller, James Bachman"
200000000,"Fantasy, Adventure, Family",en,46.985445,"Walt Disney Pictures, Roth Films",United States of America,2013-03-07,491868548,130.0,Oz: The Great and Powerful,5.7,3530,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff, Bill Cobbs, Joey King, Tony Cox, Stephen R. Hart, Abigail Spencer"
200000000,"Action, Adventure, Fantasy",en,89.270217,"Columbia Pictures, Marvel Enterprises, Avi Arad Productions, Matt Tolmach Productions",United States of America,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Campbell Scott, Embeth Davidtz, Colm Feore, Paul Giamatti, Sally Field, Max Charles"
170000000,"Adventure, Action, Science Fiction",en,73.79505,"Walt Disney Pictures, LivePlanet, Prana Studios, Sean Bailey Productions, Revolution Sun Studios, Kontsept Film Company",United States of America,2010-12-10,400062763,125.0,TRON: Legacy,6.3,2841,"Garrett Hedlund, Jeff Bridges, Olivia Wilde, Bruce Boxleitner, Yaya DaCosta, Serinda Swan, Beau Garrett, Elizabeth Mathis, James Frain, Amy Esterle"
200000000,"Animation, Family, Adventure, Comedy",en,49.98659,"Walt Disney Pictures, Pixar Animation Studios",United States of America,2011-06-11,559852396,106.0,Cars 2,5.8,2033,"Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer, John Turturro, Eddie Izzard, Thomas Kretschmann, Joe Mantegna, Peter Jacobson, Bruce Campbell"
200000000,"Adventure, Action, Thriller, Science Fiction",en,51.872839,"De Line Pictures, Warner Bros., DC Entertainment",United States of America,2011-06-16,219851172,114.0,Green Lantern,5.1,2487,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Tim Robbins, Mark Strong, Temuera Morrison, Jenna Craig, Jon Tenney, Mike Doyle, NicK Jandl"
200000000,"Animation, Family, Comedy",en,59.995418,"Walt Disney Pictures, Pixar Animation Studios",United States of America,2010-06-16,1066969703,103.0,Toy Story 3,7.6,4597,"Tom Hanks, Tim Allen, Ned Beatty, Joan Cusack, Michael Keaton, Whoopi Goldberg, Bonnie Hunt, Wallace Shawn, John Ratzenberger, Don Rickles"
200000000,"Action, Science Fiction, Thriller",en,71.862892,"Columbia Pictures, The Halcyon Company, Wonderland Sound and Vision, Warner Bros.","Germany, Italy, United Kingdom, United States of America",2009-05-20,371353001,115.0,Terminator Salvation,5.9,2463,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood, Bryce Dallas Howard, Helena Bonham Carter, Common, Roland Kickinger, Michael Ironside, Jane Alexander"
190000000,Action,en,102.322217,"Universal Pictures, Original Film, Fuji Television Network, Dentsu, One Race Films, China Film Co., Media Rights Capital (MRC), Abu Dhabi Film Commission, Colorado Office of Film, Television & Media","Japan, United States of America",2015-04-01,1506249360,137.0,Furious 7,7.3,4176,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Ludacris, Jordana Brewster, Djimon Hounsou, Tony Jaa, Ronda Rousey"
200000000,"Action, Drama, Horror, Science Fiction, Thriller",en,81.834855,"Paramount Pictures, GK Films, Skydance Productions, Hemisphere Media Capital, Apparatus Productions, Latina Pictures","United States of America, Malta",2013-06-20,531865000,116.0,World War Z,6.7,5560,"Brad Pitt, Mireille Enos, Abigail Hargrove, Sterling Jerins, James Badge Dale, Elyes Gabel, David Andrews, Daniella Kertesz, Ludi Boeken, Fana Mokoena"
250000000,"Action, Adventure, Fantasy, Science Fiction",en,118.078691,"Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment, Down Productions, Revolution Sun Studios","United Kingdom, United States of America",2014-05-15,747862775,131.0,X-Men: Days of Future Past,7.5,6032,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Anna Paquin, Ellen Page, Peter Dinklage, Ian McKellen, Patrick Stewart"
190000000,"Action, Adventure, Science Fiction",en,78.291018,"Paramount Pictures, Skydance Productions, Bad Robot, Kurtzman/Orci",United States of America,2013-05-05,467365246,132.0,Star Trek Into Darkness,7.4,4418,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban, Simon Pegg, John Cho, Benedict Cumberbatch, Anton Yelchin, Bruce Greenwood, Peter Weller"
195000000,"Action, Family, Fantasy",en,43.349855,"New Line Cinema, Original Film, Legendary Pictures, Warner Bros., Big Kid Pictures, Bad Hat Harry Productions",United States of America,2013-02-27,197687603,114.0,Jack the Giant Slayer,5.5,2598,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci, Ian McShane, Eddie Marsan, Ewen Bremner, Warwick Davis, Bill Nighy, Ralph Brown"
105000000,"Drama, Romance",en,61.196071,"Village Roadshow Pictures, Bazmark Films, Warner Bros., A&E Television Networks, Red Wagon Entertainment, Spectrum Films","United States of America, Australia",2013-05-10,351040419,143.0,The Great Gatsby,7.3,3769,"Leonardo DiCaprio, Tobey Maguire, Carey Mulligan, Joel Edgerton, Elizabeth Debicki, Isla Fisher, Jason Clarke, Amitabh Bachchan, Callan McAuliffe, Adelaide Clemens"
150000000,"Adventure, Fantasy, Action, Romance",en,62.169881,"Walt Disney Pictures, Jerry Bruckheimer Films",United States of America,2010-05-19,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint, Toby Kebbell, Richard Coyle, Ronald Pickup, Reece Ritchie"
180000000,"Action, Science Fiction, Adventure",en,56.523205,"Legendary Pictures, Warner Bros., Disney Double Dare You (DDY), Indochina Productions","United States of America, Canada",2013-07-11,407602906,131.0,Pacific Rim,6.7,4794,"Idris Elba, Charlie Hunnam, Charlie Day, Ron Perlman, Burn Gorman, Rinko Kikuchi, Max Martini, Robert Maillet, Robert Kazinsky, Larry Joe Campbell"
195000000,"Action, Science Fiction, Adventure",en,28.529607,"Paramount Pictures, Di Bonaventura Pictures, Indochina Productions, Hasbro Studios",United States of America,2011-06-28,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,"Shia LaBeouf, John Malkovich, Ken Jeong, Frances McDormand, Josh Duhamel, Tyrese Gibson, Hugo Weaving, Leonard Nimoy, John Turturro, Rosie Huntington-Whiteley"
185000000,"Adventure, Action",en,75.674458,"Lucasfilm, Paramount Pictures",United States of America,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,"Harrison Ford, Cate Blanchett, Shia LaBeouf, Ray Winstone, Karen Allen, John Hurt, Jim Broadbent, Andrew Divoff, Igor Jijikine, Pavel Lychnikoff"
175000000,"Adventure, Animation, Family",en,51.692953,"Walt Disney Pictures, Pixar Animation Studios",United States of America,2015-11-14,331926147,93.0,The Good Dinosaur,6.6,1736,"Raymond Ochoa, Jack Bright, Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple, Jack McGraw, Marcus Scribner, Peter Sohn, Steve Zahn"
185000000,"Animation, Adventure, Comedy, Family, Action, Fantasy",en,125.114374,"Walt Disney Pictures, Pixar Animation Studios",United States of America,2012-06-21,538983207,93.0,Brave,6.7,4641,"Kelly Macdonald, Julie Walters, Billy Connolly, Emma Thompson, Kevin McKidd, Craig Ferguson, Robbie Coltrane, Peigi Barker, Steven Cree, Steve Purcell"
185000000,"Action, Adventure, Science Fiction",en,65.352913,"Paramount Pictures, Bad Robot, Perfect Storm Entertainment, Alibaba Pictures Group, Skydance Media, Sneaky Shark, Huahua Media",United States of America,2016-07-07,343471816,122.0,Star Trek Beyond,6.6,2568,"Chris Pine, Zachary Quinto, Karl Urban, Simon Pegg, Zoe Saldana, John Cho, Anton Yelchin, Sofia Boutella, Idris Elba, Joe Taslim"
140000000,"Action, Comedy, Crime, Thriller",en,22.57178,New Line Cinema,United States of America,2007-08-08,258022233,91.0,Rush Hour 3,6.1,783,"Chris Tucker, Jackie Chan, Hiroyuki Sanada, Max von Sydow, Yvan Attal, Roman Polanski, Zhang Jingchu, Philip Baker Hall, Sarah Shahi"
200000000,"Action, Adventure, Science Fiction",en,45.274225,"Columbia Pictures, Centropolis Entertainment, The Mark Gordon Company, Farewell Productions","Canada, United States of America",2009-10-10,769653595,158.0,2012,5.6,4903,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily"
200000000,"Animation, Drama",en,39.744242,"Walt Disney, ImageMovers",United States of America,2009-11-04,325233863,96.0,A Christmas Carol,6.6,1095,"Gary Oldman, Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan, Amber Gainey Meade, Ryan Ochoa, Bobbi Page, Ron Bottitta, Sammi Hanratty"
176000003,"Science Fiction, Fantasy, Action, Adventure",en,85.36908,"Village Roadshow Pictures, Dune Entertainment, Anarchos Productions, Warner Bros.",United States of America,2015-02-04,183987723,124.0,Jupiter Ascending,5.2,2768,"Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne, Douglas Booth, Tuppence Middleton, Gugu Mbatha-Raw, Nikki Amuka-Bird, Christina Cole, Nicholas A. Newman"
180000000,"Action, Adventure",en,42.741719,"Village Roadshow Pictures, Dark Horse Entertainment, Jerry Weintraub Productions, RatPac-Dune Entertainment, Beagle Pug Films, Riche Productions, Village Roadshow Films North America","Canada, United Kingdom, United States of America",2016-06-29,356743061,109.0,The Legend of Tarzan,5.5,2430,"Alexander Skarsggrd, Margot Robbie, Christoph Waltz, Samuel L. Jackson, Djimon Hounsou, Jim Broadbent, Casper Crump, Yule Masiteng, Ben Chaplin, Sidney Ralitsoele"
180000000,"Adventure, Family, Fantasy",en,67.391328,"Walt Disney, Walden Media","United Kingdom, United States of America",2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,"William Moseley, Anna Popplewell, Skandar Keynes, Georgie Henley, Liam Neeson, Tilda Swinton, James McAvoy, Jim Broadbent, Kiran Shah, James Cosmo"
178000000,Science Fiction,en,139.272042,"Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment, Kinberg Genre",United States of America,2016-05-18,543934787,144.0,X-Men: Apocalypse,6.4,4721,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Oscar Isaac, Rose Byrne, Evan Peters, Josh Helman, Sophie Turner, Tye Sheridan"
185000000,"Drama, Action, Crime, Thriller",en,187.322927,"DC Comics, Legendary Pictures, Warner Bros., DC Entertainment, Syncopy","United Kingdom, United States of America",2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy"
175000000,"Animation, Comedy, Family, Adventure",en,92.201962,Pixar Animation Studios,United States of America,2009-05-13,735099082,96.0,Up,7.7,6870,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft, John Ratzenberger, David Kaye, Elie Docter, Jeremy Leary"
175000000,"Animation, Family, Adventure, Science Fiction",en,36.167578,DreamWorks Animation,United States of America,2009-03-19,381509870,94.0,Monsters vs Aliens,6.0,1423,"Seth Rogen, Reese Witherspoon, Hugh Laurie, Paul Rudd, Kiefer Sutherland, Rainn Wilson, Will Arnett, Stephen Colbert, Jimmy Kimmel, Julie White"
140000000,"Action, Science Fiction, Adventure",en,120.725053,Marvel Studios,United States of America,2008-04-30,585174222,126.0,Iron Man,7.4,8776,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Shaun Toub, Gwyneth Paltrow, Faran Tahir, Paul Bettany, Leslie Bibb, Clark Gregg, Will Lyman"
170000000,"Adventure, Drama, Family",en,32.319043,"Paramount Pictures, Infinitum Nihil, GK Films","France, United States of America, United Kingdom",2011-11-22,185770160,126.0,Hugo,7.0,2141,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour"
170000000,"Action, Adventure, Comedy, Science Fiction, Western",en,40.748915,"Todman, Simon, LeMasters Productions, Warner Bros., Peters Entertainment, Sonnenfeld Josephson Worldwide Entertainment",United States of America,1999-06-29,222104681,106.0,Wild Wild West,5.1,1020,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek, M. Emmet Walsh, Ted Levine, Frederique van der Wal, Musetta Vander, Sofia Eng, Garcelle Beauvais"
145000000,"Adventure, Action, Fantasy",en,60.034162,"Universal Pictures, China Film Co-Production Corporation, Relativity Media, Alphaville Films, Sommers Company, The","Germany, United States of America",2008-07-01,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,"Brendan Fraser, Jet Li, John Hannah, Maria Bello, Luke Ford, Michelle Yeoh, Isabella Leong, Anthony Wong, Russell Wong, Liam Cunningham"
175000000,"Action, Adventure, Crime, Fantasy, Science Fiction",en,90.23792,"DC Comics, Dune Entertainment, Atlas Entertainment, Warner Bros., DC Entertainment",United States of America,2016-08-02,745000000,123.0,Suicide Squad,5.9,7458,"Will Smith, Margot Robbie, Joel Kinnaman, Viola Davis, Jared Leto, Jai Courtney, Jay Hernandez, Adewale Akinnuoye-Agbaje, Cara Delevingne, Karen Fukuhara"
