budget,genres,original_language,popularity,production_companies,production_countries,revenue,runtime,title,vote_average,vote_count,cast,release_year,release_month,release_day
210000000,3,4,3.857526,1,6,459359555,104.0,X-Men: The Last Stand,6.3,3525,1,2006,5,24
200000000,18,4,89.186492,11,2086,743559607,104.0,Monsters University,7.0,3528,1,2013,6,20
150000000,9,4,21.939663,1,2086,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,1,2009,6,19
210000000,9,4,116.840296,1,2086,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,1,2014,6,25
200000000,2,4,46.985445,1,2086,491868548,130.0,Oz: The Great and Powerful,5.7,3530,1,2013,3,7
200000000,9,4,89.270217,1,2086,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,1,2014,4,16
170000000,13,4,73.79505,1,2086,400062763,125.0,TRON: Legacy,6.3,2841,1,2010,12,10
200000000,2,4,49.98659,11,2086,559852396,106.0,Cars 2,5.8,2033,1,2011,6,11
200000000,10,4,51.872839,1,2086,219851172,114.0,Green Lantern,5.1,2487,1,2011,6,16
200000000,3,4,59.995418,11,2086,1066969703,103.0,Toy Story 3,7.6,4597,1,2010,6,16
200000000,6,4,71.862892,1,1,371353001,115.0,Terminator Salvation,5.9,2463,1,2009,5,20
190000000,17,4,102.322217,1,11,1506249360,137.0,Furious 7,7.3,4176,1,2015,4,1
200000000,1,4,81.834855,1,1,531865000,116.0,World War Z,6.7,5560,1,2013,6,20
250000000,6,4,118.078691,1,141,747862775,131.0,X-Men: Days of Future Past,7.5,6032,1,2014,5,15
190000000,18,4,78.291018,1,2086,467365246,132.0,Star Trek Into Darkness,7.4,4418,1,2013,5,5
195000000,1,4,43.349855,1,2086,197687603,114.0,Jack the Giant Slayer,5.5,2598,1,2013,2,27
105000000,89,4,61.196071,1,8,351040419,143.0,The Great Gatsby,7.3,3769,1,2013,5,10
150000000,1,4,62.169881,2,2086,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,1,2010,5,19
180000000,6,4,56.523205,1,13,407602906,131.0,Pacific Rim,6.7,4794,1,2013,7,11
195000000,6,4,28.529607,1,2086,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,1,2011,6,28
185000000,6,4,75.674458,4,2086,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,1,2008,5,21
175000000,4,4,51.692953,11,2086,331926147,93.0,The Good Dinosaur,6.6,1736,1,2015,11,14
185000000,1,4,125.114374,11,2086,538983207,93.0,Brave,6.7,4641,1,2012,6,21
185000000,18,4,65.352913,1,2086,343471816,122.0,Star Trek Beyond,6.6,2568,1,2016,7,7
140000000,4,4,22.57178,26,2086,258022233,91.0,Rush Hour 3,6.1,783,1,2007,8,8
200000000,18,4,45.274225,1,66,769653595,158.0,2012,5.6,4903,1,2009,10,10
200000000,1,4,39.744242,1,2086,325233863,96.0,A Christmas Carol,6.6,1095,1,2009,11,4
176000003,1,4,85.36908,1,2086,183987723,124.0,Jupiter Ascending,5.2,2768,1,2015,2,4
180000000,7,4,42.741719,1,6,356743061,109.0,The Legend of Tarzan,5.5,2430,1,2016,6,29
180000000,12,4,67.391328,1,141,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,1,2005,12,7
178000000,11,4,139.272042,1,2086,543934787,144.0,X-Men: Apocalypse,6.4,4721,1,2016,5,18
185000000,1,4,187.322927,1,141,1004558444,152.0,The Dark Knight,8.2,12002,1,2008,7,16
175000000,3,4,92.201962,4,2086,735099082,96.0,Up,7.7,6870,1,2009,5,13
175000000,2,4,36.167578,12,2086,381509870,94.0,Monsters vs Aliens,6.0,1423,1,2009,3,19
140000000,6,4,120.725053,8,2086,585174222,126.0,Iron Man,7.4,8776,1,2008,4,30
170000000,6,4,32.319043,1,1,185770160,126.0,Hugo,7.0,2141,1,2011,11,22
170000000,1,4,40.748915,1,2086,222104681,106.0,Wild Wild West,5.1,1020,1,1999,6,29
145000000,5,4,60.034162,1,93,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,1,2008,7,1
175000000,1,4,90.23792,1,2086,745000000,123.0,Suicide Squad,5.9,7458,1,2016,8,2
175000000,6,4,27.082182,1,2086,173000000,96.0,Evan Almighty,5.3,1151,1,2007,6,9
178000000,13,4,79.456485,1,36,370541256,113.0,Edge of Tomorrow,7.6,4858,1,2014,5,27
175000000,6,4,44.640292,1,2086,264218220,135.0,Waterworld,5.9,992,1,1995,7,28
175000000,10,4,32.852443,1,2,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,1,2009,8,4
175000000,1,4,128.655964,11,2086,857611174,94.0,Inside Out,8.0,6560,1,2015,6,9
175000000,1,4,94.199316,1,141,966550600,106.0,The Jungle Book,6.7,2892,1,2016,4,7
200000000,13,4,77.300194,8,2086,623933331,124.0,Iron Man 2,6.6,6849,1,2010,4,28
170000000,2,4,77.178973,1,2086,396600000,127.0,Snow White and the Huntsman,5.8,3118,1,2012,5,30
180000000,1,4,110.620647,1,2086,758539785,97.0,Maleficent,7.0,4496,1,2014,5,28
170000000,2,4,243.791743,1,2086,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,1,2014,6,26
175000000,1,4,41.796339,1,2086,150962475,119.0,47 Ronin,5.9,1326,1,2013,12,6
170000000,18,4,72.225265,8,2086,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,1,2014,3,20
165000000,1,4,44.041186,12,2086,752600867,93.0,Shrek Forever After,6.0,1959,1,2010,5,16
190000000,1,4,130.311355,1,2086,209154322,130.0,Tomorrowland,6.2,2846,1,2015,5,19
165000000,1,4,203.73459,5,2086,652105443,102.0,Big Hero 6,7.8,6135,1,2014,10,24
165000000,1,4,62.341073,3,2086,471222889,108.0,Wreck-It Ralph,7.1,4570,1,2012,11,1
165000000,1,4,47.323228,1,2086,305875730,100.0,The Polar Express,6.4,1474,1,2004,11,10
165000000,18,4,48.775723,1,2086,389681935,120.0,Independence Day: Resurgence,4.9,2491,1,2016,6,22
165000000,2,4,67.263269,1,2086,494878759,98.0,How to Train Your Dragon,7.5,4227,1,2010,3,5
200000000,13,4,69.405188,1,22,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,1,2003,7,2
170000000,6,4,481.098624,1,141,773328629,121.0,Guardians of the Galaxy,7.9,9742,1,2014,7,30
165000000,3,4,724.247784,1,2,675120017,169.0,Interstellar,8.1,10867,1,2014,11,5
160000000,1,4,167.58371,1,141,825532764,148.0,Inception,8.1,13752,1,2010,7,14
15000000,1,13,9.476999,1,11,77000000,120.0,Shin Godzilla,6.5,143,1,2016,7,29
250000000,13,4,108.849621,2,9,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,1,2012,11,26
38000000,25,4,6.909942,1,93,207283925,106.0,The Fast and the Furious,6.6,3428,1,2001,6,22
150000000,2,4,60.269279,1,2086,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,1,2008,11,24
160000000,6,4,3.195174,1,2086,353624124,132.0,X-Men: First Class,7.1,5181,1,2011,5,24
160000000,18,4,127.284427,1,93,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,1,2015,11,18
150000000,1,4,35.580815,1,2086,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,1,2010,7,13
160000000,1,4,21.133748,1,2086,181674817,99.0,Poseidon,5.5,583,1,2006,5,12
170000000,5,4,56.268916,1,141,299370084,113.0,Alice Through the Looking Glass,6.5,1725,1,2016,5,25
160000000,2,4,42.986467,4,2086,798958165,93.0,Shrek the Third,6.0,2278,1,2007,5,17
160000000,9,4,63.148529,1,1,433677183,123.0,Warcraft,6.3,2268,1,2016,5,25
155000000,1,4,202.042635,1,2086,440603537,126.0,Terminator Genisys,5.8,3631,1,2015,6,23
155000000,12,4,49.661984,1,2086,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,1,2010,8,13
140000000,1,4,34.20669,4,2086,449220945,183.0,Pearl Harbor,6.6,1791,1,2001,5,21
150000000,2,4,25.468493,1,2086,709709780,144.0,Transformers,6.6,4040,1,2007,6,27
155000000,1,4,39.019229,1,1,167298192,175.0,Alexander,5.6,927,1,2004,11,21
150000000,1,4,78.144395,2,141,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,1,2007,6,28
150000000,5,4,101.250416,1,141,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5608,1,2005,11,5
150000000,3,4,56.758411,1,2086,624029371,92.0,Hancock,6.2,2961,1,2008,7,1
150000000,2,4,70.867401,1,2086,585349010,101.0,I Am Legend,6.9,4853,1,2007,12,14
150000000,4,4,53.905592,1,3,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,1,2005,7,13
150000000,4,4,65.677399,11,2086,623722818,111.0,Ratatouille,7.5,4369,1,2007,6,22
150000000,6,4,115.040024,1,141,374218673,140.0,Batman Begins,7.5,7359,1,2005,6,10
150000000,5,4,44.141021,12,2086,603900354,89.0,Madagascar: Escape 2 Africa,6.2,1810,1,2008,10,30
150000000,2,4,81.781591,1,13,413106170,105.0,Night at the Museum: Battle of the Smithsonian,5.9,1971,1,2009,5,20
150000000,10,4,5.954334,1,2086,373062864,107.0,X-Men Origins: Wolverine,6.2,4021,1,2009,4,28
150000000,10,4,73.313918,1,8,424988211,129.0,The Matrix Revolutions,6.4,3096,1,2003,11,5
150000000,3,4,165.125366,5,2086,1274219009,102.0,Frozen,7.3,5295,1,2013,11,27
150000000,10,4,70.78591,1,36,738599701,138.0,The Matrix Reloaded,6.7,3443,1,2003,5,15
170000000,9,4,99.499595,8,2086,644571402,112.0,Thor: The Dark World,6.8,4755,1,2013,10,29
150000000,7,4,434.278564,1,36,378858340,120.0,Mad Max: Fury Road,7.2,9427,1,2015,5,13
150000000,13,4,86.493424,8,2086,449326618,115.0,Thor,6.6,6525,1,2011,4,21
150000000,2,4,41.845878,3,2086,309979994,98.0,Bolt,6.3,1750,1,2008,11,21
150000000,1,4,26.710398,1,2086,292817841,88.0,G-Force,5.1,510,1,2009,7,21
150000000,9,4,44.927635,1,3,301000000,99.0,Wrath of the Titans,5.5,1431,1,2012,3,27
150000000,4,4,50.306728,1,36,245527149,113.0,Dark Shadows,5.7,2320,1,2012,5,8
150000000,19,4,114.522237,1,7,682330139,131.0,Mission: Impossible - Rogue Nation,7.1,3224,1,2015,7,23
150000000,4,4,29.332905,1,2086,287594577,91.0,Bee Movie,5.7,1171,1,2007,10,28
150000000,18,4,51.247321,12,2086,665692281,91.0,Kung Fu Panda 2,6.7,1880,1,2011,5,25
150000000,1,4,33.769336,1,2086,318502923,103.0,The Last Airbender,4.7,1151,1,2010,6,30
150000000,24,4,63.079003,1,1,397850012,126.0,Mission: Impossible III,6.5,2028,1,2006,5,3
150000000,13,4,39.004588,1,2086,205366737,131.0,White House Down,6.4,1891,1,2013,6,27
150000000,4,4,12.362599,3,2086,38992758,88.0,Mars Needs Moms,5.5,199,1,2011,3,9
149000000,9,4,22.550135,2,141,64459316,85.0,Flushed Away,6.0,874,1,2006,10,22
150000000,12,4,48.03528,1,2086,128388320,111.0,Pan,5.9,954,1,2015,9,24
175000000,2,4,66.803149,1,1,497409852,163.0,Troy,6.9,2759,1,2004,5,13
145000000,18,4,44.989192,12,2086,746921274,93.0,Madagascar 3: Europe's Most Wanted,6.4,1808,1,2012,6,6
140000000,24,4,54.159392,7,141,431971116,133.0,Die Another Day,5.8,1092,1,2002,11,17
144000000,1,4,66.21806,1,2086,229147509,116.0,Ghostbusters,5.3,2142,1,2016,7,14
140000000,3,4,58.485967,1,2086,553799566,151.0,Armageddon,6.4,2482,1,1998,7,1
140000000,2,4,91.332849,1,2086,441818803,88.0,Men in Black II,6.0,3114,1,2002,7,3
70000000,1,4,35.601665,1,2086,195735876,115.0,Beowulf,5.5,841,1,2007,11,5
145000000,1,4,56.747978,1,7,521170825,95.0,Kung Fu Panda 3,6.7,1603,1,2016,1,23
145000000,5,4,77.77477,1,1,694713380,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,1,2011,12,7
145000000,2,4,61.788035,12,2086,306941670,97.0,Rise of the Guardians,7.1,1922,1,2012,11,21
100000000,185,4,25.159168,1,2086,202026112,90.0,Fun with Dick and Jane,5.9,627,1,2005,12,21
140000000,1,4,52.341226,1,1,456758981,154.0,The Last Samurai,7.3,1895,1,2003,12,5
140000000,4,4,101.599427,1,3,268031828,150.0,Exodus: Gods and Kings,5.6,1921,1,2014,12,3
150000000,9,4,73.616808,1,93,385680446,127.0,Star Trek,7.4,4518,1,2009,5,6
139000000,3,4,82.502566,1,2086,821708551,121.0,Spider-Man,6.8,5265,1,2002,5,1
145000000,1,4,100.21391,1,2086,609123048,102.0,How to Train Your Dragon 2,7.6,3106,1,2014,6,12
140000000,5,4,56.257249,1,36,150680864,127.0,Gods of Egypt,5.3,1277,1,2016,2,25
135000000,17,4,17.88953,1,2086,76932943,121.0,Stealth,4.9,331,1,2005,7,28
130000000,1,4,64.798873,1,2086,185258983,163.0,Watchmen,7.0,2811,1,2009,3,5
140000000,3,4,24.855701,1,2086,285444603,127.0,Lethal Weapon 4,6.3,767,1,1998,7,10
137000000,1,4,34.981698,1,2086,245360480,138.0,Hulk,5.3,1533,1,2003,6,19
130000000,3,4,59.325589,1,2086,371876278,110.0,G.I. Joe: Retaliation,5.4,3025,1,2013,3,26
130000000,1,4,21.605568,1,1,119269486,124.0,Sahara,5.7,434,1,2005,4,6
137000000,1,4,26.074908,1,11,85131830,106.0,Final Fantasy: The Spirits Within,5.9,433,1,2001,7,2
140000000,18,4,74.506246,8,2086,370569774,124.0,Captain America: The First Avenger,6.6,7047,1,2011,7,22
135000000,24,4,39.604363,2,141,361832400,128.0,The World Is Not Enough,6.0,862,1,1999,11,8
150000000,9,4,36.973031,1,2086,212011111,138.0,Master and Commander: The Far Side of the World,6.9,790,1,2003,11,14
120000000,4,4,99.687084,1,2086,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,1,2012,11,13
130000000,18,4,17.7735,1,11,150406466,100.0,Happy Feet Two,5.8,373,1,2011,11,17
150000000,9,4,62.898336,1,2086,163712074,114.0,The Incredible Hulk,6.1,3021,1,2008,6,12
140000000,12,4,44.19092,1,8,183345589,120.0,The BFG,6.0,1000,1,2016,6,1
135000000,1,4,100.635882,1,1,532950503,156.0,The Revenant,7.3,6396,1,2015,12,25
135000000,18,4,44.765377,12,2086,282570682,96.0,Turbo,6.1,1074,1,2013,7,11
135000000,1,4,29.91353,1,2086,245724603,107.0,Rango,6.6,2051,1,2011,3,2
132000000,4,4,84.366984,12,2086,373552094,92.0,Penguins of Madagascar,6.5,1346,1,2014,11,22
70000000,5,4,45.381501,1,93,442824138,115.0,The Bourne Ultimatum,7.3,2888,1,2007,8,3
130000000,1,4,84.689648,12,2086,631744560,90.0,Kung Fu Panda,6.9,3145,1,2008,6,4
130000000,9,4,120.09361,8,2086,519311965,117.0,Ant-Man,7.0,5880,1,2015,7,14
130000000,13,4,76.310119,3,2086,847423452,146.0,The Hunger Games: Catching Fire,7.4,6495,1,2013,11,15
135000000,1,4,63.473086,1,2086,368871007,94.0,Home,6.8,1519,1,2015,3,18
132000000,1,4,48.572726,1,2086,591739379,116.0,War of the Worlds,6.2,2322,1,2005,6,28
130000000,3,4,38.068736,1,2086,273339556,147.0,Bad Boys II,6.3,1564,1,2003,7,18
130000000,1,4,20.678787,2,2086,554987477,90.0,Puss in Boots,6.4,451,1,2011,10,28
110000000,2,4,48.829437,1,2086,293329073,100.0,Salt,6.2,2093,1,2010,7,21
125000000,3,4,46.115758,1,2086,362637473,139.0,Noah,5.6,2350,1,2014,3,20
130000000,1,4,89.938296,1,9,371940071,107.0,The Adventures of Tintin,6.7,2061,1,2011,10,25
130000000,5,4,79.679601,2,141,789804554,141.0,Harry Potter and the Prisoner of Azkaban,7.7,5877,1,2004,5,31
130000000,195,4,28.840997,1,2,49554002,165.0,Australia,6.3,694,1,2008,11,18
130000000,9,4,42.840582,1,2086,243843127,100.0,After Earth,5.0,2532,1,2013,5,30
127500000,18,4,26.548594,8,2086,354248063,82.0,Dinosaur,6.2,542,1,2000,5,19
127000000,1,4,115.597753,1,141,349424282,97.0,Night at the Museum: Secret of the Tomb,6.1,1851,1,2014,12,17
130000000,1,4,68.757242,12,2086,321887208,95.0,Megamind,6.7,1918,1,2010,10,28
125000000,5,4,109.984351,1,141,976475550,152.0,Harry Potter and the Philosopher's Stone,7.5,7006,1,2001,11,16
130000000,1,4,39.448066,1,2086,61648500,96.0,R.I.P.D.,5.4,1260,1,2013,7,18
140000000,13,4,271.972889,2,2086,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,1,2003,7,9
125000000,1,4,206.227151,3,2086,752100229,123.0,The Hunger Games: Mockingjay - Part 1,6.6,5584,1,2014,11,18
125000000,4,4,45.313197,1,1,767820459,149.0,The Da Vinci Code,6.5,2704,1,2006,5,17
103000000,4,4,42.40024,8,2086,500188435,102.0,Rio 2,6.3,978,1,2014,3,19
110000000,3,4,2.871739,1,2086,407711549,133.0,X2,6.8,3506,1,2003,4,24
125000000,18,4,7.255718,1,2086,626137675,130.0,Fast Five,7.1,2438,1,2011,4,20
125000000,1,4,81.499621,1,2086,334615000,129.0,Sherlock Holmes: A Game of Shadows,7.0,3886,1,2011,11,22
125000000,13,4,47.686442,1,2086,232713139,106.0,Clash of the Titans,5.6,2233,1,2010,4,1
65000000,18,4,43.129703,1,2086,261317921,113.0,Total Recall,7.1,1710,1,1990,6,1
160000000,13,4,27.220157,15,2086,61698899,102.0,The 13th Warrior,6.4,510,1,1999,8,27
130000000,32,4,90.33681,1,2086,276572938,120.0,The Bourne Legacy,6.0,2651,1,2012,8,8
123000000,1,4,45.419668,6,93,345141403,104.0,How the Grinch Stole Christmas,6.2,1386,1,2000,11,17
125000000,7,4,41.380094,1,2086,544272402,124.0,The Day After Tomorrow,6.2,2392,1,2004,5,26
125000000,24,4,54.931334,1,93,546388105,123.0,Mission: Impossible II,5.9,1928,1,2000,5,24
120000000,195,4,25.752118,1,2086,325756637,130.0,The Perfect Storm,6.2,597,1,2000,3,15
130000000,3,4,60.810723,1,22,289047763,92.0,Fantastic 4: Rise of the Silver Surfer,5.4,2589,1,2007,6,13
120000000,4,4,51.328145,1,1,609016565,127.0,Life of Pi,7.2,5797,1,2012,11,20
110000000,1,4,46.834704,1,8,228738393,114.0,Ghost Rider,5.2,1712,1,2007,2,16
120000000,32,4,62.641286,1,2,415484914,123.0,Jason Bourne,5.9,2341,1,2016,7,27
120000000,15,4,33.616115,1,2086,259175788,106.0,Charlie's Angels: Full Throttle,5.2,914,1,2003,6,27
130000000,2,4,68.889395,1,141,403170142,124.0,Prometheus,6.3,5080,1,2012,5,30
120000000,1,4,27.990284,1,2086,169956806,78.0,Stuart Little 2,5.4,613,1,2002,7,19
115000000,2,4,67.33767,1,2086,286140700,109.0,Elysium,6.4,3439,1,2013,8,7
105000000,13,4,27.835436,1,2086,115772733,119.0,The Chronicles of Riddick,6.3,1570,1,2004,6,11
120000000,13,4,66.757869,1,66,242688965,102.0,RoboCop,5.7,2342,1,2014,1,30
120000000,1,4,17.060695,1,1,93945766,135.0,Speed Racer,5.7,354,1,2008,5,9
120000000,61,4,11.137655,1,2086,48668907,121.0,How Do You Know,4.9,223,1,2010,12,17
117000000,17,4,44.906918,1,2086,261930431,109.0,Knight and Day,5.9,1547,1,2010,6,15
120000000,1,4,67.698004,1,2086,286168572,124.0,Oblivion,6.4,4800,1,2013,4,10
113000000,2,4,44.108427,3,2086,850000000,140.0,Star Wars: Episode III - Revenge of the Sith,7.1,4116,1,2005,5,17
120000000,13,4,43.987061,3,2086,649398328,142.0,Star Wars: Episode II - Attack of the Clones,6.4,3992,1,2002,5,15
115000000,18,4,106.815545,11,2086,562816256,92.0,"Monsters, Inc.",7.5,5996,1,2001,11,1
120000000,1,4,15.953444,1,141,415440673,126.0,The Wolverine,6.3,4053,1,2013,7,23
115000000,13,4,54.035265,3,2086,924317558,136.0,Star Wars: Episode I - The Phantom Menace,6.3,4432,1,1999,5,19
135000000,5,4,64.183321,12,2086,585178928,98.0,The Croods,6.8,2399,1,2013,3,20
97250400,1,7,20.344364,1,1,132900000,116.0,Asterix at the Olympic Games,5.0,471,1,2008,1,13
115000000,1,4,18.714197,1,2086,77628265,134.0,Windtalkers,5.8,341,1,2002,6,14
115000000,5,4,60.467984,1,2086,164602163,114.0,The Huntsman: Winter's War,6.0,1523,1,2016,4,6
125000000,1,4,143.350376,1,2086,477200000,101.0,Teenage Mutant Ninja Turtles,5.8,2636,1,2014,8,7
105000000,2,4,110.153618,1,141,716392705,91.0,Gravity,7.3,5751,1,2013,9,27
116000000,19,4,16.90444,2,2086,178127760,108.0,Dante's Peak,5.7,428,1,1997,2,7
135000000,1,4,39.873791,1,1,245623848,112.0,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,1,2016,6,1
120000000,18,4,38.126095,1,2086,167977596,100.0,Fantastic Four,4.4,2278,1,2015,8,5
110000000,1,4,48.780039,1,12,574480841,108.0,Night at the Museum,6.3,2862,1,2006,10,20
110000000,13,4,100.412364,1,1,470490832,114.0,San Andreas,6.0,2968,1,2015,5,27
110000000,24,4,42.887121,7,141,333011068,119.0,Tomorrow Never Dies,6.0,925,1,1997,12,11
110000000,1,4,23.657284,1,93,215294342,165.0,The Patriot,6.8,1099,1,2000,6,28
110000000,7,4,76.840712,1,2086,362744280,125.0,Ocean's Twelve,6.4,2124,1,2004,12,9
110000000,1,4,103.718387,1,2086,295238201,119.0,Insurgent,6.2,3829,1,2015,3,18
116000000,195,4,45.616098,1,2086,102000000,170.0,The Aviator,7.0,1489,1,2004,12,17
112000000,185,4,22.845143,2,2086,237382724,85.0,Gulliver's Travels,4.9,621,1,2010,12,25
120000000,1,4,31.703608,1,2086,227817248,119.0,The Green Hornet,5.5,1251,1,2011,1,12
110000000,1,4,71.510596,1,2086,337580051,102.0,300: Rise of an Empire,6.1,2397,1,2014,3,5
110000000,1,4,36.65422,1,2086,563749323,103.0,The Smurfs,5.5,1179,1,2011,7,29
110000000,18,4,19.625972,17,2086,103951461,76.0,Home on the Range,5.7,389,1,2004,4,2
110000000,4,4,86.105615,1,2086,179246868,121.0,Allegiant,5.9,1998,1,2016,3,9
110000000,2,4,37.195046,1,8,299268508,127.0,Real Steel,6.6,2692,1,2011,9,28
105000000,1,4,32.473628,1,2086,347434178,105.0,The Smurfs 2,5.5,695,1,2013,7,30
160000000,19,4,23.336875,1,2086,164508066,121.0,Speed 2: Cruise Control,4.1,434,1,1997,6,13
110000000,9,4,45.94834,1,2086,125537191,114.0,Ender's Game,6.6,2303,1,2013,10,23
110000000,32,4,48.93337,1,141,383531464,128.0,Live Free or Die Hard,6.4,2089,1,2007,6,20
93000000,13,4,138.049577,2,9,871368364,178.0,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,1,2001,12,18
110000000,15,4,22.643776,1,1,72178895,120.0,Around the World in 80 Days,5.7,672,1,2004,6,16
107000000,195,4,18.866672,13,2086,87713825,157.0,Ali,6.7,447,1,2001,12,11
120000000,13,4,95.914473,1,11,347234916,115.0,"I, Robot",6.7,3793,1,2004,7,15
130000000,2,4,44.490453,1,1,211643158,144.0,Kingdom of Heaven,6.6,1157,1,2005,5,3
133000000,1,4,30.475297,1,93,300135367,84.0,Stuart Little,5.8,959,1,1999,12,17
105000000,1,4,62.479574,5,2086,267045765,97.0,The Princess and the Frog,6.7,1247,1,2009,12,8
108000000,1,4,167.93287,1,2086,630161890,141.0,The Martian,7.6,7268,1,2015,9,30
126000000,3,4,37.68056,1,2086,162949164,136.0,The Island,6.5,1770,1,2005,7,20
90000000,25,4,52.995628,4,2086,237202299,118.0,Gone in Sixty Seconds,6.1,1485,1,2000,6,9
103000000,2,4,95.301296,1,141,457640427,155.0,Gladiator,7.9,5439,1,2000,5,1
102000000,1,4,65.948959,1,2086,358372926,145.0,Minority Report,7.1,2608,1,2002,6,20
100000000,5,4,132.397737,2,22,876688482,161.0,Harry Potter and the Chamber of Secrets,7.4,5815,1,2002,11,13
